frame_etg frame_gar X Y event_type code
0 0 431.62 317.33 Fixation 2398710831
0 0 433.53 317.57 Fixation 2398726517
0 0 436.84 320.73 Fixation 2398743098
1 1 437.68 322.65 Fixation 2398759753
1 1 440.58 322.19 Fixation 2398776386
2 2 443.33 321.92 Fixation 2398792825
3 3 445.35 323.40 Fixation 2398809501
3 3 446.90 321.78 Fixation 2398826135
4 3 448.44 323.50 Saccade 2398842715
4 3 430.36 308.26 Saccade 2398859253
5 4 403.85 286.98 Saccade 2398875897
5 4 380.37 278.35 Saccade 2398892481
6 5 379.73 276.33 Fixation 2398909230
6 5 380.64 275.54 Fixation 2398925804
6 5 380.43 274.40 Fixation 2398942205
7 6 382.48 272.37 Fixation 2398958888
8 7 382.57 270.35 Fixation 2398975480
8 7 383.24 268.75 Fixation 2398992066
9 8 385.80 263.05 Fixation 2399008673
9 8 388.55 261.16 Fixation 2399025182
10 8 388.46 259.29 Fixation 2399041892
10 8 391.24 258.22 Fixation 2399058521
11 9 395.57 258.22 Fixation 2399075089
11 9 397.90 259.45 Fixation 2399091560
12 10 400.45 259.59 Fixation 2399108224
12 10 397.40 262.73 Fixation 2399124858
13 11 328.59 284.15 Saccade 2399141453
13 11 246.52 329.71 Saccade 2399158062
14 12 260.62 314.82 Saccade 2399174671
14 12 40.03 402.93 Saccade 2399191173
15 13 -29.86 416.01 Saccade 2399207854
15 13 -44.47 420.29 Saccade 2399224439
16 13 -45.43 419.49 Fixation 2399241049
16 13 -47.61 417.38 Fixation 2399257638
16 13 523.50 634.52 Fixation 2399274301
17 14 -38.24 402.44 Fixation 2399290745
18 15 -36.51 398.49 Fixation 2399307375
18 15 -33.69 392.28 Fixation 2399324046
18 15 -33.33 396.35 Fixation 2399340634
19 16 -32.41 385.22 Fixation 2399357162
20 17 -33.84 389.84 Fixation 2399373677
20 17 -32.23 390.27 Saccade 2399390318
20 17 -37.03 383.55 Saccade 2399406975
21 18 -59.12 366.44 Saccade 2399423583
22 18 -65.22 369.73 Fixation 2399440116
22 18 -66.80 367.20 Fixation 2399456764
23 19 -67.34 362.45 Fixation 2399473436
23 19 -67.30 360.88 Fixation 2399489919
24 20 -68.16 360.54 Fixation 2399506568
24 20 -70.77 358.31 Fixation 2399523109
24 20 -71.68 358.81 Fixation 2399539706
25 21 -70.49 356.11 Blink 2399556428
26 22 -58.96 353.18 Blink 2399572931
26 22 59.44 3559.87 Blink 2399589481
27 23 230.97 303.41 Blink 2399606135
27 23 333.41 293.99 Blink 2399622715
28 23 393.32 296.83 Blink 2399640309
28 23 396.21 291.06 Blink 2399655940
29 24 396.01 289.13 Fixation 2399672729
29 24 394.22 286.14 Fixation 2399689151
30 25 391.17 286.16 Fixation 2399705729
30 25 388.15 285.13 Fixation 2399722220
30 25 382.65 282.72 Fixation 2399738946
31 26 377.94 282.18 Fixation 2399755644
31 26 371.41 280.72 Fixation 2399772035
32 27 368.08 280.79 Saccade 2399788592
33 28 419.82 274.93 Saccade 2399805231
33 28 512.71 270.73 Saccade 2399822076
34 28 605.14 256.60 Saccade 2399838672
34 28 694.85 237.54 Saccade 2399855034
35 29 783.45 223.60 Saccade 2399871681
35 29 868.71 224.00 Saccade 2399888226
36 30 939.28 246.12 Saccade 2399904859
36 30 1000.50 259.78 Saccade 2399921405
36 30 1041.53 270.94 Saccade 2399938260
37 31 1031.44 268.36 Saccade 2399954557
38 32 984.04 258.56 Saccade 2399971320
38 32 947.90 259.25 Saccade 2399987836
39 33 912.30 257.53 Saccade 2400004342
39 33 880.03 255.53 Saccade 2400021050
40 33 852.37 251.81 Saccade 2400037706
40 33 825.60 250.56 Saccade 2400054229
41 34 803.07 248.69 Saccade 2400070831
41 34 782.93 248.48 Saccade 2400087307
42 35 829.24 282.20 Saccade 2400104055
42 35 445.04 450.61 Saccade 2400120709
42 35 1031.89 490.88 Saccade 2400137234
43 36 1124.61 548.78 Saccade 2400153699
43 36 1199.24 581.22 Saccade 2400170378
44 37 1254.23 593.01 Saccade 2400186967
45 38 1259.56 595.47 Saccade 2400203510
45 38 1248.52 587.88 Fixation 2400220069
45 38 1247.84 590.58 Fixation 2400236944
46 38 1235.72 581.56 Fixation 2400253466
46 38 1236.09 583.31 Fixation 2400269906
47 39 1232.65 579.91 Fixation 2400286437
47 39 1229.69 575.42 Fixation 2400303107
48 40 1230.68 579.44 Fixation 2400320007
48 40 1226.79 577.77 Fixation 2400336459
49 41 1221.87 578.32 Fixation 2400353122
50 42 1216.80 566.48 Fixation 2400369545
50 42 1216.91 568.90 Fixation 2400386073
51 43 1217.38 573.35 Blink 2400402774
51 43 1218.96 560.57 Blink 2400419212
51 43 1218.14 555.29 Blink 2400435939
52 43 1214.85 547.71 Blink 2400452607
53 44 1217.90 551.32 Blink 2400469164
53 44 1218.29 549.73 Blink 2400485734
54 45 1223.78 550.49 Blink 2400502283
54 45 1236.20 548.41 Blink 2400518971
54 45 1095.32 500.98 Blink 2400535681
55 46 635.08 663.74 Blink 2400552113
56 47 849.86 447.41 Blink 2400568635
56 47 714.58 405.77 Blink 2400585291
57 48 624.17 364.68 Blink 2400601876
57 48 536.16 323.94 Blink 2400618616
57 48 457.94 299.30 Blink 2400635275
58 48 390.85 288.27 Blink 2400651741
59 49 327.64 304.44 Fixation 2400668282
59 49 267.15 310.03 Fixation 2400684819
60 50 244.44 308.82 Fixation 2400701483
60 50 262.00 306.68 Fixation 2400718224
60 50 282.48 305.43 Fixation 2400734685
61 51 301.81 307.88 Fixation 2400751210
61 51 319.35 302.17 Fixation 2400767798
62 52 334.39 299.83 Fixation 2400784338
63 53 346.86 299.04 Fixation 2400801013
63 53 357.21 296.52 Fixation 2400817802
63 53 366.11 296.58 Fixation 2400834524
64 53 373.44 296.30 Fixation 2400850824
64 53 380.03 295.12 Fixation 2400867367
65 54 386.84 292.08 Fixation 2400883948
66 55 391.91 291.65 Fixation 2400900676
66 55 396.30 290.77 Fixation 2400917204
66 55 398.55 289.71 Fixation 2400933822
67 56 399.07 289.70 Fixation 2400950388
68 57 399.68 289.45 Fixation 2400967043
68 57 402.21 289.09 Fixation 2400983554
69 57 400.79 289.56 Fixation 2401000151
69 57 404.42 290.10 Fixation 2401017013
70 58 402.02 291.72 Fixation 2401033548
70 58 404.67 292.29 Saccade 2401049963
70 58 371.26 282.10 Saccade 2401066570
71 59 348.20 281.74 Saccade 2401083118
72 60 347.82 281.76 Saccade 2401099811
72 60 345.54 286.85 Saccade 2401116467
72 60 342.52 285.09 Saccade 2401133134
73 61 338.05 285.24 Saccade 2401149639
74 62 380.51 284.05 Saccade 2401166112
74 62 489.50 282.53 Saccade 2401182715
74 62 596.24 276.48 Saccade 2401199225
75 63 693.01 271.50 Saccade 2401215895
76 63 779.23 267.60 Saccade 2401232777
76 63 836.04 268.57 Saccade 2401249100
76 63 834.17 264.39 Fixation 2401265645
77 64 818.04 265.17 Fixation 2401282303
77 64 799.97 261.22 Fixation 2401298850
78 65 782.46 259.47 Fixation 2401315499
78 65 768.14 261.80 Fixation 2401332008
79 66 751.15 260.27 Fixation 2401348586
80 67 736.95 257.66 Fixation 2401365241
80 67 722.69 255.38 Fixation 2401381893
80 67 706.30 255.07 Fixation 2401398507
81 68 691.80 251.93 Fixation 2401415047
81 68 703.32 248.74 Fixation 2401431765
82 68 699.68 246.61 Fixation 2401448287
83 69 687.37 243.76 Fixation 2401464887
83 69 674.61 243.43 Fixation 2401481428
84 70 662.45 242.51 Fixation 2401498039
84 70 650.22 241.60 Fixation 2401514635
84 70 638.64 243.20 Fixation 2401531279
85 71 625.13 240.53 Fixation 2401547915
86 72 611.16 240.23 Fixation 2401564388
86 72 599.47 239.07 Saccade 2401581050
86 72 605.42 239.57 Saccade 2401597610
87 73 678.04 283.53 Saccade 2401614323
87 73 780.75 345.51 Saccade 2401630766
88 73 876.19 417.52 Saccade 2401647455
88 73 963.87 469.46 Saccade 2401664015
89 74 1014.35 500.76 Saccade 2401680563
89 74 1003.44 492.03 Fixation 2401697162
90 75 993.79 488.06 Fixation 2401713765
90 75 979.12 476.79 Fixation 2401730332
91 76 972.98 473.82 Fixation 2401746998
91 76 966.27 466.98 Fixation 2401763507
92 77 674.92 724.47 Fixation 2401780121
92 77 960.57 468.02 Fixation 2401796772
93 78 957.67 459.14 Fixation 2401813404
93 78 957.96 460.75 Fixation 2401829877
94 78 959.44 462.46 Saccade 2401846520
94 78 957.31 451.47 Saccade 2401863117
95 79 938.23 459.36 Saccade 2401879821
95 79 944.91 465.84 Saccade 2401896490
96 80 945.24 458.94 Saccade 2401912840
96 80 949.18 457.56 Saccade 2401929592
97 81 952.40 450.42 Saccade 2401946219
97 81 962.00 458.10 Saccade 2401962671
98 82 973.26 454.37 Saccade 2401979309
98 82 987.25 455.99 Saccade 2401995868
99 83 982.26 456.89 Saccade 2402012536
99 83 862.41 432.19 Saccade 2402029150
100 83 742.09 399.75 Saccade 2402045637
100 83 629.85 368.00 Saccade 2402062220
101 84 543.36 341.87 Saccade 2402078800
101 84 468.12 325.58 Fixation 2402095445
102 85 394.90 326.92 Fixation 2402112089
102 85 330.49 313.08 Fixation 2402128594
103 86 287.76 314.85 Fixation 2402145366
103 86 297.24 313.66 Fixation 2402161801
104 87 316.77 319.40 Fixation 2402178477
104 87 335.81 318.96 Fixation 2402194953
105 88 354.09 321.79 Fixation 2402211578
105 88 371.99 327.21 Fixation 2402228247
106 88 386.64 327.65 Fixation 2402244797
106 88 398.74 329.83 Fixation 2402261372
107 89 409.62 331.85 Fixation 2402277926
107 89 417.76 333.12 Fixation 2402294551
108 90 424.66 337.00 Fixation 2402311236
108 90 432.25 342.16 Fixation 2402327702
109 91 442.69 340.87 Fixation 2402344318
109 91 448.48 340.09 Fixation 2402360915
110 92 454.54 341.67 Fixation 2402377569
110 92 462.28 346.49 Fixation 2402394086
111 93 467.24 350.95 Fixation 2402410742
111 93 471.91 353.84 Fixation 2402427362
112 93 477.90 358.37 Fixation 2402443944
112 93 481.41 363.18 Fixation 2402460453
113 94 484.77 364.49 Fixation 2402477078
113 94 489.05 363.24 Fixation 2402493693
114 95 491.66 366.57 Fixation 2402510385
114 95 496.85 364.15 Fixation 2402527026
115 96 500.35 366.86 Fixation 2402543529
115 96 503.59 367.83 Fixation 2402560108
116 97 506.33 368.42 Fixation 2402576772
116 97 508.62 368.16 Fixation 2402593381
117 98 510.52 368.14 Fixation 2402609957
117 98 513.88 367.39 Fixation 2402626558
118 98 515.33 365.25 Saccade 2402643419
118 98 529.00 347.60 Saccade 2402659790
119 99 563.52 339.86 Saccade 2402676419
119 99 567.59 336.99 Saccade 2402692878
120 100 569.88 335.97 Fixation 2402709546
120 100 571.33 334.21 Fixation 2402726135
121 101 569.81 334.53 Fixation 2402742752
121 101 571.50 332.54 Fixation 2402759248
121 101 572.69 332.39 Fixation 2402775935
122 102 573.06 331.97 Fixation 2402792424
123 102 574.12 332.67 Fixation 2402809167
123 102 573.55 334.05 Fixation 2402825656
124 103 574.42 335.33 Fixation 2402842347
124 103 576.13 337.40 Fixation 2402858913
125 104 577.24 339.44 Fixation 2402875572
125 104 576.50 342.35 Fixation 2402891972
126 105 576.15 341.49 Fixation 2402908607
126 105 576.83 344.77 Fixation 2402925225
127 106 574.39 342.58 Fixation 2402941868
127 106 575.00 342.04 Fixation 2402958525
128 107 572.60 341.97 Fixation 2402975126
128 107 570.63 339.64 Fixation 2402991630
